epoch,accuracy,learning_rate,loss,precision,recall,top2_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top2_accuracy
0,0.7503703832626343,0.0010000000474974513,5.955409049987793,0.7714511752128601,0.7225925922393799,0.9229629635810852,0.846666693687439,4.975314617156982,0.8868613243103027,0.8100000023841858,0.9766666889190674
1,0.8292592763900757,0.0010000000474974513,4.377397537231445,0.8435583114624023,0.8148148059844971,0.962592601776123,0.8799999952316284,3.7188174724578857,0.8961937427520752,0.8633333444595337,0.9866666793823242
2,0.8381481766700745,0.0010000000474974513,3.320117950439453,0.8464462161064148,0.8248147964477539,0.9655555486679077,0.9066666960716248,2.7707903385162354,0.9206896424293518,0.8899999856948853,0.9933333396911621
3,0.8429629802703857,0.0010000000474974513,2.5464344024658203,0.8579068183898926,0.8318518400192261,0.9685184955596924,0.9100000262260437,2.1282336711883545,0.9209622144699097,0.8933333158493042,0.9866666793823242
4,0.8577777743339539,0.0010000000474974513,1.9972162246704102,0.8669446706771851,0.8470370173454285,0.9748148322105408,0.8799999952316284,1.7044677734375,0.8969072103500366,0.8700000047683716,0.9866666793823242
5,0.8659259080886841,0.0010000000474974513,1.6235942840576172,0.8754259943962097,0.8562963008880615,0.9748148322105408,0.8966666460037231,1.3723746538162231,0.9106529355049133,0.8833333253860474,0.9933333396911621
6,0.8548148274421692,0.0010000000474974513,1.382016658782959,0.8668437004089355,0.8462963104248047,0.9722222089767456,0.8933333158493042,1.2006765604019165,0.9075342416763306,0.8833333253860474,0.9733333587646484
7,0.8600000143051147,0.0010000000474974513,1.2071226835250854,0.8747117519378662,0.8429629802703857,0.9692592620849609,0.9100000262260437,1.0383116006851196,0.9118643999099731,0.8966666460037231,0.9933333396911621
8,0.860370397567749,0.0010000000474974513,1.0645326375961304,0.8734225630760193,0.8459259271621704,0.9748148322105408,0.9166666865348816,0.8795242309570312,0.9285714030265808,0.9100000262260437,0.9933333396911621
9,0.8596296310424805,0.0010000000474974513,0.970592200756073,0.871745765209198,0.8433333039283752,0.9711111187934875,0.9066666960716248,0.842612087726593,0.9152542352676392,0.8999999761581421,0.9933333396911621
10,0.8470370173454285,0.0010000000474974513,0.9446634650230408,0.8615916967391968,0.8299999833106995,0.9748148322105408,0.9066666960716248,0.7612057328224182,0.912162184715271,0.8999999761581421,0.9900000095367432
11,0.8685185313224792,0.0010000000474974513,0.8602744936943054,0.8812333345413208,0.8574073910713196,0.9740740656852722,0.8999999761581421,0.738263726234436,0.9057239294052124,0.8966666460037231,0.9900000095367432
12,0.8596296310424805,0.0010000000474974513,0.8578814268112183,0.8732231855392456,0.8418518304824829,0.9681481719017029,0.9266666769981384,0.7079868316650391,0.938144326210022,0.9100000262260437,0.9933333396911621
13,0.8611111044883728,0.0010000000474974513,0.8214839100837708,0.8775822520256042,0.8496296405792236,0.970370352268219,0.8999999761581421,0.7321116328239441,0.9112628102302551,0.8899999856948853,0.9833333492279053
14,0.8700000047683716,0.0010000000474974513,0.7882893085479736,0.8791793584823608,0.8570370078086853,0.9733333587646484,0.8999999761581421,0.7029678225517273,0.9020270109176636,0.8899999856948853,0.9866666793823242
15,0.8629629611968994,0.0010000000474974513,0.7708361148834229,0.8739047646522522,0.8496296405792236,0.9762963056564331,0.8966666460037231,0.6925652027130127,0.8989899158477783,0.8899999856948853,0.9866666793823242
16,0.8622221946716309,0.0010000000474974513,0.7825315594673157,0.8747143745422363,0.8507407307624817,0.9718518257141113,0.9166666865348816,0.6644859313964844,0.9220339059829712,0.9066666960716248,0.9933333396911621
17,0.8622221946716309,0.0010000000474974513,0.7792521119117737,0.8752391934394836,0.8470370173454285,0.9722222089767456,0.9066666960716248,0.6758558750152588,0.9215016961097717,0.8999999761581421,0.9866666793823242
18,0.8596296310424805,0.0010000000474974513,0.7529500722885132,0.8756694793701172,0.847777783870697,0.9740740656852722,0.9266666769981384,0.6312794089317322,0.9324324131011963,0.9200000166893005,0.9866666793823242
19,0.868148148059845,0.0010000000474974513,0.7458261251449585,0.8783732652664185,0.8559259176254272,0.9718518257141113,0.9133333563804626,0.6422852277755737,0.9222972989082336,0.9100000262260437,0.9833333492279053
20,0.8574073910713196,0.0010000000474974513,0.7596703171730042,0.8689839839935303,0.8425925970077515,0.9729629755020142,0.9066666960716248,0.6651880145072937,0.912162184715271,0.8999999761581421,0.9833333492279053
21,0.8596296310424805,0.0010000000474974513,0.7506375312805176,0.875,0.847777783870697,0.9700000286102295,0.8999999761581421,0.6768565773963928,0.9081632494926453,0.8899999856948853,0.9933333396911621
22,0.8674073815345764,0.0010000000474974513,0.7348966598510742,0.8808979988098145,0.8574073910713196,0.9781481623649597,0.9233333468437195,0.6099392771720886,0.9290540814399719,0.9166666865348816,1.0
23,0.846666693687439,0.0010000000474974513,0.7489826679229736,0.862820029258728,0.8362963199615479,0.9733333587646484,0.8999999761581421,0.6336345672607422,0.9212328791618347,0.8966666460037231,0.9800000190734863
24,0.8585185408592224,0.0010000000474974513,0.7438682913780212,0.8690205216407776,0.847777783870697,0.9707407355308533,0.9166666865348816,0.6740224361419678,0.9342560768127441,0.8999999761581421,0.9833333492279053
25,0.852222204208374,0.0010000000474974513,0.7653145790100098,0.8693486452102661,0.8403703570365906,0.9733333587646484,0.9100000262260437,0.6328464150428772,0.9158248901367188,0.9066666960716248,0.9800000190734863
26,0.8700000047683716,0.0010000000474974513,0.7068890333175659,0.8835433125495911,0.8570370078086853,0.9770370125770569,0.9166666865348816,0.6334398984909058,0.9228187799453735,0.9166666865348816,0.9766666889190674
27,0.8618518710136414,0.0005000000237487257,0.7216994166374207,0.8746656179428101,0.847777783870697,0.9714815020561218,0.9266666769981384,0.5471925139427185,0.9297658801078796,0.9266666769981384,0.9866666793823242
28,0.8744444251060486,0.0005000000237487257,0.6348341703414917,0.8863462805747986,0.8607407212257385,0.9825925827026367,0.9333333373069763,0.5064613819122314,0.9324324131011963,0.9200000166893005,0.9933333396911621
29,0.8785185217857361,0.0005000000237487257,0.6228693127632141,0.8872008919715881,0.8651852011680603,0.9751851558685303,0.9233333468437195,0.5135558247566223,0.9292929172515869,0.9200000166893005,0.9833333492279053
